Id;Title;Year;Budget;UnivName;UnivZIP;State
1500004;EAGER: NeTS: Pilot Studies on Proximity for Taming the Wireless Data Tsunami;2015;49467.0;University of Notre Dame;465565708;IN
1500007;EAGER: Novel photoacoustic sensor using piezoresistive GaN microcantilever;2014;151149.0;Clemson University;296340001;SC
1500024;EAGER: Systematic and Scalable Testing of Concurrent Software in the Cloud;2015;54202.0;Virginia Polytechnic Institute and State University;240610001;VA
1500031;Birational Geometry of Moduli Spaces and Bridgeland Stability;2015;103918.0;University of Illinois at Chicago;606124305;IL
1500033;SaTC-EDU: EAGER: INCUBATE - INjecting and assessing Cybersecurity edUcation with little internal suBject mATter Expertise;2015;197698.0;Le Moyne College;132141301;NY
1500034;Simple groups, representations, and related topics;2015;22900.0;University of Oregon Eugene;974035219;OR
1500035;Free Gibbs States: Von Neumann Algebras, Random Matrices, and Subfactors;2015;280000.0;University of California-Los Angeles;900951406;CA
1500039;SaTC-EDU: EAGER: Enhancing Cybersecurity Education through Peer Review;2015;229280.0;Worcester Polytechnic Institute;016092247;MA
1500041;Intermittency and Ion Heating in Reduced Magnetohydrodynamic Turbulence;2015;280000.0;University of New Hampshire;038243585;NH
1500046;SaTC-EDU: EAGER Enhancing Cybersecurity Education Through a Representational Fluency Model;2015;299376.0;Purdue University;479072114;IN
1500050;Combinatorial representation theory applied to Schubert calculus and Markov chains;2015;150000.0;University of California-Davis;956186134;CA
1500052;SaTC-EDU: EAGER: Transforming Usable Security and Privacy Education;2015;194439.0;University of North Carolina at Charlotte;282230001;NC
1500055;SaTC-EDU: EAGER: CFEAR: Cyber Forensics Education via Augmented Reality;2015;299943.0;Metropolitan State University;551065000;MN
1500067;Conference on Multiscale Modeling with Partial Differential Equations in Computational Science and Engineering;2015;10590.0;Grand Valley State University;494019401;MI
1500069;Interactions between Commutative Algebra and Representation Theory;2015;154866.0;University of Wisconsin-Madison;537151218;WI
1500076;UNS: New Approaches to Catalyst Screening and Development;2015;573522.0;University of Nebraska-Lincoln;685031435;NE
1500077;SaTC-EDU: EAGER: Education Initiative TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices;2015;270019.0;Texas Christian University;761290001;TX
1500083;SaTC-EDU: EAGER: Broadening Cyber Security Education Beyond Computing - Educating Everyone to Safeguard Our Online Lives;2015;300000.0;Georgia Tech Research Corporation;303320420;GA
1500084;SaTC-EDU: EAGER: Big Data and Security: Educating the Next-Generation Security Analysts;2015;300000.0;Georgia Tech Research Corporation;303320420;GA
1500086;RAPID: Measuring the Intent of Leaders through Censorship Behavior;2015;200000.0;Harvard University;021385366;MA
1500089;SaTC-EDU: EAGER: Cybersecurity education for public policy;2015;300000.0;Stanford University;943041212;CA
1500091;Workshop: Responsible Disposal of Flame Retarded Foam and Plastic: Developing the Basic Science for Improved Separation and Destruction; VA Tech Center,Arlington,VA, June 2015;2015;86544.0;University of California-Berkeley;947045940;CA
1500092;Documentation of Gutob, An Endangered Munda Language of India;2015;197115.0;Living Tongues Institute for Endangered Languages;973021902;OR
1500095;PFI:AIR - TT: Prototyping Untrusted-Device Quantum Cryptography;2015;211924.0;University of Michigan Ann Arbor;481091274;MI
1500097;PFI:AIR - TT: Improving Performance and Reducing Costs for Phased Array Weather Radar;2015;199394.0;University of Massachusetts Amherst;010359450;MA
1500098;Harmonic Analysis of Waves and Eigenfunctions;2015;193882.0;University of Washington;981950001;WA
1500099;Collaborative Research: GOALI - Non-Equilibrium Processes, Stability, Design and Control of Pulsed Plasmas for Materials Processing;2015;290000.0;University of California-Los Angeles;900951406;CA
1500101;SaTC-EDU: EAGER: Peer Instruction for Cybersecurity Education;2015;300000.0;University of New Orleans;701480001;LA
1500106;Derivation of mean-field equations and dynamics of coherent structures in nonlinear dispersive PDE;2015;118160.0;Brown University;029129002;RI
1500121;Sparse Discrete Structures;2015;190000.0;University of Illinois at Urbana-Champaign;618207473;IL
1500123;PFI:AIR - TT: A Novel Vector Acoustic Communication Technology for High Speed Underwater Modems;2015;199985.0;New Jersey Institute of Technology;071021982;NJ
1500124;PFI: AIR-TT: Prototype Scale-up for Traumatic Pelvic and Abdominal Injury Decision Support System (DSS);2015;228940.0;University of Michigan Ann Arbor;481091274;MI
1500126;Collaborative Research: GOALI - Non-Equilibrium Processes, Stability, Design and Control of Pulsed Plasmas for Materials Processing;2015;15000.0;University of Michigan Ann Arbor;481091274;MI
1500135;Unraveling the Unique Properties of Transient Discharges in Bubbles and Liquid Water;2015;342000.0;University of Minnesota-Twin Cities;554552070;MN
1500138;Bridge to the Doctorate: Wisconsin Louis Stokes Alliance for Minority Participation;2015;987000.0;University of Wisconsin-Madison;537151218;WI
1500141;Asymptotics in Integrable Systems, Random Matrices and Random Processes, and Universality;2015;30000.0;University of Michigan Ann Arbor;481091274;MI
1500142;Geometric and Analytic Problems on Real Hypersurfaces;2015;202915.0;University of Michigan Ann Arbor;481091274;MI
1500151;Houston Summer School on Dynamical Systems;2015;49600.0;University of Houston;772042015;TX
1500153;Geometric Ramsey Theory and Incidence Geometry;2015;179513.0;University of Illinois at Chicago;606124305;IL
1500157;EL-STEC: Shared Task Evaluation Campaigns with Endangered Language Data;2015;49997.0;University of Washington;981950001;WA
1500159;Dynamical System Approach in Partial Differential Equations;2015;100525.0;Lehigh University;180153005;PA
1500162;Topics in Harmonic Analysis;2015;280000.0;University of Wisconsin-Madison;537151218;WI
1500166;PFI:AIR - TT: Lidar Technologies for Remote Underwater Mapping;2015;221726.0;University of Colorado at Boulder;803031058;CO
1500169;Detecting the Signature of Permafrost Thaw in Arctic Rivers;2014;435075.0;Florida State University;323064166;FL
1500170;Enabling High-Speed Communication over Turbulent Free-Space Optical Links by Employing Spectral-Spatial Schemes;2015;359917.0;University of Arizona;857194824;AZ
1500173;EAGER: Rapid, Efficient Implementation of Irregular Applications on SIMD Many-Core Platforms;2015;268316.0;Washington University;631304862;MO
1500174;Collaborative Research: Algebra and Algorithms, Structure and Complexity Theory;2015;103519.0;Vanderbilt University;372350002;TN
1500178;PFI:AIR - TT: High-Reliability Robot Grasping for Per-Item Distribution;2015;200000.0;Harvard University;021385366;MA
1500180;Asymptotic Methods in Geometric Group Theory;2015;293573.0;Vanderbilt University;372350002;TN
1500184;Non-Archimedean Geometry and its Applications;2015;49850.0;University of Michigan Ann Arbor;481091274;MI
1500186;DDRIG: Expanding Phonological Typology through Kaco' Sound Patterns;2015;14500.0;CUNY Graduate School University Center;100164309;NY
1500187;Development and Testing of a Global Quasi-3-D Multi-scale Modeling Framework;2016;656746.0;Colorado State University;805232002;CO
1500194;PFI:AIR - TT: Pulsed Shaped Magnetic Fields to Focus Therapy to Deep Tissue Targets;2015;200000.0;University of Maryland College Park;207425141;MD
1500195;PFI:AIR-TT: Video Collaboratory: A Platform for Active Viewing and Collaboration with Video Data;2015;216444.0;University of North Carolina at Charlotte;282230001;NC
1500204;PFI:AIR - TT:  Ultra-fast electro-optical switching of nematic liquid crystals;2015;202198.0;Kent State University;442420001;OH
1500205;PFI:AIR - TT: Design Optimization on the Cloud;2015;197508.0;University of Wisconsin-Madison;537151218;WI
1500208;PFI:AIR - TT: Prototyping a Smart Battery Gauge Technology for Stationary Energy Storage of Renewable Energy Resources;2015;202189.0;North Carolina State University;276957514;NC
1500216;Collaborative Research: Algebra and Algorithms, Structure and Complexity Theory;2015;67889.0;University of South Carolina at Columbia;292080001;SC
1500217;Radical Chemistry on Cloud and Aerosol Surfaces;2014;269915.0;University of Nebraska-Lincoln;685031435;NE
1500218;Collaborative Research: Algebra and Algorithms, Structure and Complexity Theory;2015;106881.0;Iowa State University;500112207;IA
1500219;Extremal graph theory, graph limits, and algebraic invariants;2015;151604.0;Massachusetts Institute of Technology;021394301;MA
1500220;COLLBORATIVE RESEARCH: CREATING AN AUDIO-VISUAL CORPUS OF SCOTTISH GAIDHLIG TO PRESERVE AND INVESTIGATE LINGUISTIC DIVERSITY;2015;166982.0;University of Arizona;857194824;AZ
1500222;PFI:AIR - TT: BaTiO3 Photonic Crystal Electro-optic Devices for 50 GHz Applications;2015;200000.0;Northwestern University;602013149;IL
1500224;Dust Transport in Convectively Stratified Atmospheric Boundary Layer;2015;224461.0;University of Texas at Dallas;750803021;TX
1500234;PFI:AIR - TT:  Design of functionally-tested, genomics-informed personalized cancer therapy drug treatment plans;2015;200273.0;Texas Tech University;794091035;TX
1500235;Collaborative Research: Algebra and Algorithms, Structure and Complexity Theory;2015;39486.0;University of Hawaii;968222234;HI
1500236;PFI:AIR - TT: Developing an Engineering Prototype for Ultra-Low-Cost Blood Coagulation Diagnostics Using Paper-based Microfluidics;2015;200000.0;University of Cincinnati Main Campus;452210222;OH
1500237;Topics in Number Theory;2015;246312.0;Stanford University;943041212;CA
1500238;Collaborative Research: Heating the Solar Chromosphere Through Plasma Turbulence;2015;79950.0;NorthWest Research Associates, Incorporated;980525164;WA
1500240;PFI:AIR - TT: Motionless MSM Micro-Pump;2015;217575.0;Boise State University;837250001;ID
1500242;PFI:AIR - TT: Biomimetic Composite for Segmental Bone Regeneration;2015;200000.0;University of South Carolina at Columbia;292080001;SC
1500246;PFI:AIR - TT:  Commercializing an Intelligent Tutor for eLearning in Mathematics;2015;199944.0;University of Massachusetts Amherst;010359450;MA
1500249;PFI:AIR - TT: Low Cost High Resolution 3D Scanning Technologies for 3D Printing;2015;215249.0;Brown University;029129002;RI
1500253;PFI:AIR - TT: Developing low-cost nanowire sensors based on a seed-mediated solution process;2015;209060.0;Wayne State University;482023622;MI
1500254;Collaborative Research: Algebra and Algorithms, Structure and Complexity Theory;2015;144199.0;University of Colorado at Boulder;803031058;CO
1500256;PFI:AIR - TT: Low cost method for harvesting algal biomass from dilute cultures;2015;199997.0;University of Toledo;436063390;OH
1500261;PFI:AIR - TT:  Development of Tools and Methods for Extended Maturity Analysis of Concrete;2015;200000.0;Cornell University;148502820;NY
1500262;Iterated Fourier Series and Integrals;2015;160752.0;Cornell University;148502820;NY
1500264;Local Cohomology and Related Questions;2015;120000.0;University of Minnesota-Twin Cities;554552070;MN
1500267;EAGER: Collaborative Research: Conceptualizing sustained environmental information management in the landscape of current and emerging eco-informatics infrastructure;2015;17003.0;Arizona State University;852816011;AZ
1500271;PFI:AIR - TT: High-Rate High-Powered Pulsed Magnetron Sputtering (HPPMS) Prototype Development;2015;222000.0;University of Illinois at Urbana-Champaign;618207473;IL
1500273;PFI:AIR - TT: High yield production of furans from biomass hydrolysates using a hybrid enzyme- and chemo-catalytic technology;2015;237900.0;University of Toledo;436063390;OH
1500275;New Strategy for Encapsulating Integral Membrane Proteins;2015;420000.0;University of California-Davis;956186134;CA
1500284;California LSAMP Bridge to the Doctorate Program at the University of California-Irvine (2015-2017);2015;987000.0;University of California-Irvine;926173213;CA
1500285;Developing the multilayer multiconfiguration time-dependent Hartree theory;2014;420000.0;University of Colorado at Denver-Downtown Campus;800452571;CO
1500286;Operationalization of Visualization via Deconstruction;2015;249868.0;North Carolina State University;276957514;NC
1500292;PFI:AIR - TT: Robust Multimaterial Chalcogenide Infrared Optical Fibers;2015;200000.0;University of Central Florida;328168005;FL
1500293;PFI:AIR - TT: A Hybrid Metal/Glass Composite System for Multihazard Resilient Bridge Columns;2015;200000.0;University of Connecticut;062691133;CT
1500297;Conferences in Formal Power Series and Algebraic Combinatorics, 2015 and 2016;2015;54896.0;Dartmouth College;037551404;NH
1500302;Conference on Complex Analysis and Geometry;2015;23335.0;University of Wisconsin-Madison;537151218;WI
1500306;EAGER: Collaborative Research: Conceptualizing sustained environmental information management in the landscape of current and emerging eco-informatics infrastructure;2015;139682.0;University of Wisconsin-Madison;537151218;WI
1500309;Collaborative Research: Understanding and Reducing Student Resistance as a Barrier to Faculty Change;2014;163609.0;University of Texas at Austin;787121532;TX
1500310;Women Achieving Tenure-Track Success: Strategies to Enable Community-based Retention;2015;749779.0;University of Washington;981950001;WA
1500314;PFI:AIR - TT: Highly Sensitive Eye-safe Flash LiDARs based on Nanoinjection Detectors;2015;226831.0;Northwestern University;602013149;IL
1500316;Selmer Groups, Euler Systems, and Rational Points on Curves;2015;169999.0;University of California-Irvine;926173213;CA
1500317;Cohort 12: JSU Bridge to the Doctorate;2015;987000.0;Jackson State University;392170002;MS
1500320;2015-2017 LSAMP Bridge to the Doctorate: Tennessee LSAMP Bridge to the Doctorate Program at Vanderbilt University;2015;987000.0;Tennessee State University;372091561;TN
1500334;Moduli Spaces in Algebraic Geometry;2015;252001.0;Stanford University;943041212;CA
1500343;Connectivity and Structure in Representable Matroids;2015;184686.0;Louisiana State University & Agricultural and Mechanical College;708032701;LA
